IdiomaA,IdiomaB,Periodo,Retornos,Retornoslog
IT,EN,1920-1930,-0.1022,-0.1078
IT,EN,1930-1940,0.2126,0.1928
IT,EN,1940-1950,0.0269,0.0265
IT,EN,1950-1960,0.0134,0.0133
IT,EN,1960-1970,-0.1371,-0.1474
IT,EN,1970-1980,0.0341,0.0335
IT,EN,1980-1990,0.0305,0.03
IT,EN,1990-2000,-0.0761,-0.0792
IT,FR,1900-1910,0.0627,0.0608
IT,FR,1910-1920,-0.0243,-0.0246
IT,FR,1920-1930,-0.0423,-0.0432
IT,FR,1930-1940,-0.0206,-0.0208
IT,FR,1940-1950,-0.03,-0.0305
IT,FR,1950-1960,0.0065,0.0065
IT,FR,1960-1970,-0.0476,-0.0488
IT,FR,1970-1980,0.0112,0.0111
IT,FR,1980-1990,0.0345,0.0339
IT,FR,1990-2000,-0.0193,-0.0195
IT,GE,1900-1910,0.0666,0.0645
IT,GE,1910-1920,0.1389,0.1301
IT,GE,1920-1930,0.0831,0.0798
IT,GE,1930-1940,-0.034,-0.0346
IT,GE,1940-1950,0.1371,0.1285
IT,GE,1950-1960,0.1318,0.1238
IT,GE,1960-1970,-0.0685,-0.071
IT,GE,1970-1980,0.0397,0.0389
IT,GE,1980-1990,0.0826,0.0794
IT,GE,1990-2000,0.1211,0.1143
IT,SP,1900-1910,-0.0833,-0.087
IT,SP,1910-1920,-0.0381,-0.0388
IT,SP,1920-1930,0.0299,0.0294
IT,SP,1930-1940,0.2603,0.2313
IT,SP,1940-1950,0.0087,0.0086
IT,SP,1950-1960,0.0979,0.0934
IT,SP,1960-1970,-0.014,-0.0141
IT,SP,1970-1980,-0.0305,-0.031
IT,SP,1980-1990,0.0289,0.0285
IT,SP,1990-2000,0.0432,0.0423
SP,EN,1900-1910,0.1066,0.1013
SP,EN,1910-1920,0.1001,0.0954
SP,EN,1920-1930,-0.0381,-0.0389
SP,EN,1930-1940,0.1027,0.0978
SP,EN,1940-1950,-0.0046,-0.0046
SP,EN,1950-1960,0.17,0.157
SP,EN,1960-1970,0.1222,0.1153
SP,EN,1970-1980,-0.0933,-0.098
SP,EN,1980-1990,-0.0342,-0.0349
SP,EN,1990-2000,-0.0176,-0.0177
SP,FR,1900-1910,-0.131,-0.1404
SP,FR,1910-1920,-0.058,-0.0597
SP,FR,1920-1930,0.0174,0.0172
SP,FR,1930-1940,0.0313,0.0308
SP,FR,1940-1950,0.1269,0.1195
SP,FR,1950-1960,-0.043,-0.044
SP,FR,1960-1970,-0.0806,-0.084
SP,FR,1970-1980,0.0105,0.0104
SP,FR,1980-1990,-0.0568,-0.0585
SP,FR,1990-2000,-0.0171,-0.0172
SP,GE,1900-1910,-0.1618,-0.1765
SP,GE,1910-1920,-0.0466,-0.0477
SP,GE,1920-1930,-0.0293,-0.0297
SP,GE,1930-1940,0.0655,0.0634
SP,GE,1940-1950,-0.1011,-0.1066
SP,GE,1950-1960,0.1099,0.1043
SP,GE,1960-1970,0.1964,0.1793
SP,GE,1970-1980,0.0603,0.0586
SP,GE,1980-1990,0.0047,0.0047
SP,GE,1990-2000,-0.0243,-0.0246
SP,IT,1900-1910,0.108,0.1026
SP,IT,1910-1920,-0.1038,-0.1096
SP,IT,1920-1930,-0.0181,-0.0182
SP,IT,1930-1940,-0.0807,-0.0841
SP,IT,1940-1950,-0.0014,-0.0014
SP,IT,1950-1960,-0.0934,-0.0981
SP,IT,1960-1970,-0.0404,-0.0413
SP,IT,1970-1980,0.0543,0.0529
SP,IT,1980-1990,-0.0153,-0.0154
SP,IT,1990-2000,0.0444,0.0434
