IdiomaA,IdiomaB,Periodo,Retornos,Retornoslog
EN,FR,1900-1905,0.0398,0.039
EN,FR,1905-1910,0.0075,0.0075
EN,FR,1910-1915,0.0513,0.0501
EN,FR,1915-1920,0.0297,0.0293
EN,FR,1920-1925,0.024,0.0237
EN,FR,1925-1930,-0.0005,-0.0005
EN,FR,1930-1935,0.0025,0.0025
EN,FR,1935-1940,0.0325,0.032
EN,FR,1940-1945,0.0024,0.0024
EN,FR,1945-1950,-0.0098,-0.0099
EN,FR,1950-1955,0.0074,0.0074
EN,FR,1955-1960,0.0618,0.0599
EN,FR,1960-1965,0.029,0.0286
EN,FR,1965-1970,0.0011,0.0011
EN,FR,1970-1975,0.0723,0.0698
EN,FR,1975-1980,0.0597,0.058
EN,FR,1980-1985,-0.0021,-0.0021
EN,FR,1985-1990,0.1214,0.1146
EN,FR,1990-1995,0.0865,0.0829
EN,FR,1995-2000,0.0493,0.0482
EN,FR,2000-2005,0.0256,0.0252
EN,GE,1900-1905,-0.1118,-0.1186
EN,GE,1905-1910,0.0195,0.0193
EN,GE,1910-1915,-0.0028,-0.0028
EN,GE,1915-1920,-0.0003,-0.0003
EN,GE,1920-1925,-0.0261,-0.0265
EN,GE,1925-1930,-0.0662,-0.0685
EN,GE,1930-1935,0.004,0.0039
EN,GE,1935-1940,0.0829,0.0797
EN,GE,1940-1945,-0.0016,-0.0016
EN,GE,1945-1950,-0.0795,-0.0829
EN,GE,1950-1955,-0.0764,-0.0795
EN,GE,1955-1960,0.0209,0.0207
EN,GE,1960-1965,-0.0515,-0.0529
EN,GE,1965-1970,-0.0473,-0.0485
EN,GE,1970-1975,-0.1205,-0.1284
EN,GE,1975-1980,0.0323,0.0318
EN,GE,1980-1985,0.0364,0.0357
EN,GE,1985-1990,-0.0366,-0.0373
EN,GE,1990-1995,0.0637,0.0618
EN,GE,1995-2000,0.3895,0.3289
EN,GE,2000-2005,0.1272,0.1197
EN,IT,1900-1905,0.0672,0.0651
EN,IT,1905-1910,0.0022,0.0022
EN,IT,1910-1915,0.1358,0.1273
EN,IT,1915-1920,-0.2191,-0.2473
EN,IT,1920-1925,-0.0011,-0.0011
EN,IT,1925-1930,-0.049,-0.0502
EN,IT,1930-1935,0.1079,0.1025
EN,IT,1935-1940,0.0133,0.0133
EN,IT,1940-1945,0.045,0.044
EN,IT,1945-1950,-0.0224,-0.0226
EN,IT,1950-1955,0.0204,0.0202
EN,IT,1955-1960,0.0023,0.0023
EN,IT,1960-1965,0.005,0.005
EN,IT,1965-1970,0.0414,0.0405
EN,IT,1970-1975,-0.0277,-0.028
EN,IT,1975-1980,0.001,0.001
EN,IT,1980-1985,0.0034,0.0034
EN,IT,1985-1990,-0.0214,-0.0216
EN,IT,1990-1995,0.0198,0.0196
EN,IT,1995-2000,-0.0367,-0.0374
EN,IT,2000-2005,0.039,0.0382
EN,SP,1900-1905,0.2568,0.2286
EN,SP,1905-1910,0.009,0.0089
EN,SP,1910-1915,0.0156,0.0154
EN,SP,1915-1920,-0.0437,-0.0447
EN,SP,1920-1925,0.0624,0.0606
EN,SP,1925-1930,0.0661,0.064
EN,SP,1930-1935,0.0645,0.0625
EN,SP,1935-1940,-0.0087,-0.0088
EN,SP,1940-1945,0.0192,0.019
EN,SP,1945-1950,0.0017,0.0017
EN,SP,1950-1955,-0.034,-0.0346
EN,SP,1955-1960,0.0659,0.0638
EN,SP,1960-1965,0.103,0.098
EN,SP,1965-1970,0.0707,0.0683
EN,SP,1970-1975,0.0183,0.0182
EN,SP,1975-1980,0.0301,0.0296
EN,SP,1980-1985,0.0173,0.0171
EN,SP,1985-1990,0.0218,0.0215
EN,SP,1990-1995,0.0202,0.02
EN,SP,1995-2000,0.0575,0.0559
EN,SP,2000-2005,-0.0436,-0.0446
FR,EN,1900-1905,-0.0036,-0.0036
FR,EN,1905-1910,0.0645,0.0625
FR,EN,1910-1915,-0.015,-0.0151
FR,EN,1915-1920,0.0214,0.0212
FR,EN,1920-1925,-0.0266,-0.0269
FR,EN,1925-1930,0.0343,0.0337
FR,EN,1930-1935,0.0112,0.0112
FR,EN,1935-1940,0.0422,0.0413
