IdiomaA,IdiomaB,Periodo,Retornos,Retornoslog
FR,EN,1940-1945,-0.0102,-0.0103
FR,EN,1945-1950,0.0057,0.0056
FR,EN,1950-1955,-0.0041,-0.0041
FR,EN,1955-1960,0.0211,0.0208
FR,EN,1960-1965,0.0373,0.0366
FR,EN,1965-1970,0.0684,0.0661
FR,EN,1970-1975,-0.0075,-0.0075
FR,EN,1975-1980,-0.0235,-0.0238
FR,EN,1980-1985,0.0127,0.0126
FR,EN,1985-1990,0.0294,0.0289
FR,EN,1990-1995,0.0105,0.0105
FR,EN,1995-2000,0.0007,0.0007
FR,EN,2000-2005,-0.0746,-0.0775
FR,GE,1900-1905,-0.1395,-0.1503
FR,GE,1905-1910,0.1794,0.165
FR,GE,1910-1915,0.0379,0.0372
FR,GE,1915-1920,0.0218,0.0216
FR,GE,1920-1925,0.0404,0.0396
FR,GE,1925-1930,0.0994,0.0948
FR,GE,1930-1935,0.0038,0.0038
FR,GE,1935-1940,0.0147,0.0146
FR,GE,1940-1945,0.0411,0.0403
FR,GE,1945-1950,0.0374,0.0367
FR,GE,1950-1955,0.0997,0.0951
FR,GE,1955-1960,0.011,0.0109
FR,GE,1960-1965,0.0227,0.0225
FR,GE,1965-1970,0.0629,0.061
FR,GE,1970-1975,0.0683,0.0661
FR,GE,1975-1980,-0.0299,-0.0303
FR,GE,1980-1985,0.005,0.005
FR,GE,1985-1990,0.0965,0.0922
FR,GE,1990-1995,0.1022,0.0973
FR,GE,1995-2000,-0.0432,-0.0442
FR,GE,2000-2005,0.0812,0.0781
FR,IT,1900-1905,0.0414,0.0405
FR,IT,1905-1910,-0.1441,-0.1556
FR,IT,1910-1915,0.1003,0.0956
FR,IT,1915-1920,0.1122,0.1064
FR,IT,1920-1925,-0.0951,-0.1
FR,IT,1925-1930,0.0006,0.0006
FR,IT,1930-1935,0.0147,0.0146
FR,IT,1935-1940,0.0108,0.0107
FR,IT,1940-1945,0.0026,0.0026
FR,IT,1945-1950,-0.003,-0.003
FR,IT,1950-1955,0.003,0.003
FR,IT,1955-1960,0.0544,0.0529
FR,IT,1960-1965,0.065,0.063
FR,IT,1965-1970,0.106,0.1007
FR,IT,1970-1975,0.0215,0.0213
FR,IT,1975-1980,0.157,0.1458
FR,IT,1980-1985,-0.2663,-0.3096
FR,IT,1985-1990,0.0237,0.0235
FR,IT,1990-1995,0.1674,0.1548
FR,IT,1995-2000,0.0921,0.0881
FR,IT,2000-2005,-0.037,-0.0377
FR,SP,1900-1905,-0.1199,-0.1277
FR,SP,1905-1910,-0.124,-0.1324
FR,SP,1910-1915,-0.1256,-0.1342
FR,SP,1915-1920,0.1967,0.1795
FR,SP,1920-1925,-0.0543,-0.0558
FR,SP,1925-1930,0.042,0.0411
FR,SP,1930-1935,0.0636,0.0617
FR,SP,1935-1940,0.0173,0.0172
FR,SP,1940-1945,0.0203,0.0201
FR,SP,1945-1950,-0.0474,-0.0485
FR,SP,1950-1955,0.0302,0.0298
FR,SP,1955-1960,-0.0174,-0.0176
FR,SP,1960-1965,-0.0217,-0.0219
FR,SP,1965-1970,-0.0146,-0.0147
FR,SP,1970-1975,0.0652,0.0632
FR,SP,1975-1980,0.0826,0.0794
FR,SP,1980-1985,0.0007,0.0007
FR,SP,1985-1990,0.0335,0.033
FR,SP,1990-1995,0.0412,0.0404
FR,SP,1995-2000,0.0161,0.0159
FR,SP,2000-2005,-0.0217,-0.022
GE,EN,1900-1905,0.0499,0.0487
GE,EN,1905-1910,-0.0083,-0.0083
GE,EN,1910-1915,0.011,0.0109
GE,EN,1915-1920,-0.0042,-0.0042
GE,EN,1920-1925,-0.0209,-0.0211
GE,EN,1925-1930,0.0461,0.0451
GE,EN,1930-1935,-0.0212,-0.0214
GE,EN,1935-1940,0.0351,0.0345
GE,EN,1940-1945,-0.032,-0.0325
GE,EN,1945-1950,-0.0011,-0.0011
GE,EN,1950-1955,0.0071,0.0071
GE,EN,1955-1960,-0.0285,-0.0289
GE,EN,1960-1965,0.0024,0.0024
GE,EN,1965-1970,-0.0612,-0.0631
GE,EN,1970-1975,-0.0419,-0.0428
GE,EN,1975-1980,-0.0507,-0.0521
GE,EN,1980-1985,-0.0317,-0.0322
GE,EN,1985-1990,-0.0188,-0.019
GE,EN,1990-1995,-0.0358,-0.0365
GE,EN,1995-2000,-0.0432,-0.0441
GE,EN,2000-2005,-0.0484,-0.0496
GE,FR,1900-1905,0.0143,0.0142
GE,FR,1905-1910,-0.0245,-0.0248
GE,FR,1910-1915,0.0807,0.0776
GE,FR,1915-1920,-0.0063,-0.0063
GE,FR,1920-1925,-0.12,-0.1278
GE,FR,1925-1930,0.041,0.0402
GE,FR,1930-1935,-0.0908,-0.0952
GE,FR,1935-1940,0.1629,0.151
GE,FR,1940-1945,0.1087,0.1032
GE,FR,1945-1950,-0.0203,-0.0205
GE,FR,1950-1955,-0.0302,-0.0306
GE,FR,1955-1960,-0.0379,-0.0387
GE,FR,1960-1965,0.0459,0.0448
GE,FR,1965-1970,0.0055,0.0054
GE,FR,1970-1975,0.0348,0.0342
GE,FR,1975-1980,0.0337,0.0331
GE,FR,1980-1985,-0.0042,-0.0042
GE,FR,1985-1990,-0.0503,-0.0516
GE,FR,1990-1995,-0.0162,-0.0163
GE,FR,1995-2000,-0.0204,-0.0207
GE,FR,2000-2005,-0.0203,-0.0205
GE,IT,1900-1905,0.1249,0.1177
GE,IT,1905-1910,-0.3275,-0.3967
GE,IT,1910-1915,-0.2856,-0.3362
GE,IT,1915-1920,-0.0171,-0.0172
GE,IT,1920-1925,0.4005,0.3369
GE,IT,1925-1930,0.2308,0.2077
GE,IT,1930-1935,-0.052,-0.0534
GE,IT,1935-1940,-0.0744,-0.0774
GE,IT,1940-1945,-0.1663,-0.1818
GE,IT,1945-1950,0.21,0.1906
GE,IT,1950-1955,0.21,0.1906
GE,IT,1955-1960,-0.019,-0.0192
GE,IT,1960-1965,-0.0354,-0.036
GE,IT,1965-1970,-0.147,-0.159
GE,IT,1970-1975,-0.0412,-0.042
GE,IT,1975-1980,-0.1242,-0.1326
GE,IT,1980-1985,-0.1074,-0.1136
GE,IT,1985-1990,-0.1093,-0.1157
GE,IT,1990-1995,-0.1113,-0.118
GE,IT,1995-2000,-0.0211,-0.0213
GE,IT,2000-2005,-0.2115,-0.2377
GE,SP,1900-1905,0.1312,0.1233
GE,SP,1905-1910,-0.1368,-0.1471
GE,SP,1910-1915,-0.2032,-0.2272
GE,SP,1915-1920,0.5074,0.4104
GE,SP,1920-1925,0.2855,0.2511
GE,SP,1925-1930,0.1675,0.1549
GE,SP,1930-1935,-0.0664,-0.0687
GE,SP,1935-1940,0.5365,0.4295
GE,SP,1940-1945,0.4949,0.4021
GE,SP,1945-1950,-0.2452,-0.2814
GE,SP,1950-1955,-0.0817,-0.0852
GE,SP,1955-1960,-0.0878,-0.0919
GE,SP,1960-1965,0.0134,0.0133
GE,SP,1965-1970,-0.0105,-0.0105
GE,SP,1970-1975,0.3614,0.3085
GE,SP,1975-1980,-0.0782,-0.0814
GE,SP,1980-1985,-0.2019,-0.2256
GE,SP,1985-1990,-0.234,-0.2666
GE,SP,1990-1995,-0.1049,-0.1109
GE,SP,1995-2000,0.1067,0.1014
GE,SP,2000-2005,-0.1029,-0.1086
IT,EN,1900-1905,0.1732,0.1597
IT,EN,1905-1910,0.0094,0.0094
IT,EN,1910-1915,0.0478,0.0467
IT,EN,1915-1920,-0.0016,-0.0016
IT,EN,1920-1925,-0.0396,-0.0405
IT,EN,1925-1930,-0.0652,-0.0674
IT,EN,1930-1935,0.0545,0.0531
IT,EN,1935-1940,0.1499,0.1397
IT,EN,1940-1945,0.0136,0.0135
IT,EN,1945-1950,0.0131,0.013
IT,EN,1950-1955,-0.0053,-0.0053
IT,EN,1955-1960,0.0188,0.0186
IT,EN,1960-1965,-0.035,-0.0357
IT,EN,1965-1970,-0.1057,-0.1118
IT,EN,1970-1975,0.0287,0.0283
IT,EN,1975-1980,0.0052,0.0052
IT,EN,1980-1985,0.0202,0.02
IT,EN,1985-1990,0.01,0.01
IT,EN,1990-1995,-0.0181,-0.0183
IT,EN,1995-2000,-0.0591,-0.0609
IT,EN,2000-2005,-0.0947,-0.0995
IT,FR,1900-1905,0.0144,0.0143
IT,FR,1905-1910,0.0476,0.0465
IT,FR,1910-1915,0.0034,0.0034
IT,FR,1915-1920,-0.0276,-0.0279
IT,FR,1920-1925,0.0145,0.0144
IT,FR,1925-1930,-0.056,-0.0576
IT,FR,1930-1935,-0.0053,-0.0053
IT,FR,1935-1940,-0.0153,-0.0154
IT,FR,1940-1945,0.0038,0.0038
IT,FR,1945-1950,-0.0337,-0.0342
IT,FR,1950-1955,0.0222,0.0219
IT,FR,1955-1960,-0.0153,-0.0154
IT,FR,1960-1965,-0.0588,-0.0606
IT,FR,1965-1970,0.0118,0.0118
IT,FR,1970-1975,-0.0052,-0.0053
IT,FR,1975-1980,0.0165,0.0164
IT,FR,1980-1985,0.0026,0.0026
IT,FR,1985-1990,0.0318,0.0313
IT,FR,1990-1995,-0.0031,-0.0031
IT,FR,1995-2000,-0.0162,-0.0164
IT,FR,2000-2005,0.0044,0.0044
IT,GE,1900-1905,0.0497,0.0485
IT,GE,1905-1910,0.0161,0.016
IT,GE,1910-1915,-0.0133,-0.0134
IT,GE,1915-1920,0.1543,0.1435
IT,GE,1920-1925,0.0123,0.0122
IT,GE,1925-1930,0.07,0.0676
IT,GE,1930-1935,-0.0435,-0.0445
IT,GE,1935-1940,0.01,0.0099
IT,GE,1940-1945,0.1734,0.1599
IT,GE,1945-1950,-0.031,-0.0315
IT,GE,1950-1955,-0.0163,-0.0164
IT,GE,1955-1960,0.1506,0.1402
IT,GE,1960-1965,-0.0458,-0.0469
IT,GE,1965-1970,-0.0238,-0.0241
IT,GE,1970-1975,0.042,0.0412
IT,GE,1975-1980,-0.0022,-0.0023
IT,GE,1980-1985,-0.0144,-0.0145
IT,GE,1985-1990,0.0985,0.0939
IT,GE,1990-1995,0.19,0.1739
IT,GE,1995-2000,-0.0579,-0.0596
IT,GE,2000-2005,-0.1467,-0.1587
IT,SP,1900-1905,-0.0358,-0.0364
IT,SP,1905-1910,-0.0493,-0.0506
IT,SP,1910-1915,-0.0112,-0.0113
IT,SP,1915-1920,-0.0271,-0.0275
IT,SP,1920-1925,-0.0091,-0.0091
IT,SP,1925-1930,0.0393,0.0386
IT,SP,1930-1935,0.0981,0.0936
IT,SP,1935-1940,0.1477,0.1378
IT,SP,1940-1945,0.0116,0.0115
IT,SP,1945-1950,-0.0029,-0.0029
IT,SP,1950-1955,0.0112,0.0111
IT,SP,1955-1960,0.0857,0.0822
IT,SP,1960-1965,0.0682,0.0659
IT,SP,1965-1970,-0.0769,-0.08
IT,SP,1970-1975,-0.0236,-0.0239
IT,SP,1975-1980,-0.0071,-0.0071
IT,SP,1980-1985,-0.0426,-0.0436
IT,SP,1985-1990,0.0748,0.0721
IT,SP,1990-1995,0.1174,0.111
IT,SP,1995-2000,-0.0665,-0.0688
IT,SP,2000-2005,0.0124,0.0123
SP,EN,1900-1905,0.0741,0.0715
SP,EN,1905-1910,0.0302,0.0298
SP,EN,1910-1915,0.1294,0.1217
SP,EN,1915-1920,-0.026,-0.0263
SP,EN,1920-1925,-0.0346,-0.0352
SP,EN,1925-1930,-0.0036,-0.0036
SP,EN,1930-1935,0.0542,0.0528
SP,EN,1935-1940,0.046,0.0449
SP,EN,1940-1945,0.0097,0.0096
SP,EN,1945-1950,-0.0142,-0.0143
SP,EN,1950-1955,0.0588,0.0571
SP,EN,1955-1960,0.1051,0.0999
SP,EN,1960-1965,0.0466,0.0456
SP,EN,1965-1970,0.0722,0.0697
SP,EN,1970-1975,-0.0153,-0.0154
SP,EN,1975-1980,-0.0792,-0.0826
SP,EN,1980-1985,-0.0179,-0.018
SP,EN,1985-1990,-0.0167,-0.0168
SP,EN,1990-1995,0.0113,0.0113
SP,EN,1995-2000,-0.0286,-0.029
SP,EN,2000-2005,-0.0795,-0.0828
SP,FR,1900-1905,-0.1497,-0.1621
SP,FR,1905-1910,0.0219,0.0217
SP,FR,1910-1915,-0.0839,-0.0877
SP,FR,1915-1920,0.0283,0.0279
SP,FR,1920-1925,0.0145,0.0144
SP,FR,1925-1930,0.0029,0.0029
SP,FR,1930-1935,-0.0248,-0.0251
SP,FR,1935-1940,0.0575,0.0559
SP,FR,1940-1945,0.0504,0.0491
SP,FR,1945-1950,0.0729,0.0703
SP,FR,1950-1955,0.0165,0.0164
SP,FR,1955-1960,-0.0586,-0.0604
SP,FR,1960-1965,-0.0842,-0.088
SP,FR,1965-1970,0.004,0.004
SP,FR,1970-1975,0.0623,0.0604
SP,FR,1975-1980,-0.0487,-0.05
SP,FR,1980-1985,-0.0459,-0.047
SP,FR,1985-1990,-0.0114,-0.0115
SP,FR,1990-1995,-0.0093,-0.0093
SP,FR,1995-2000,-0.0079,-0.0079
SP,FR,2000-2005,-0.0175,-0.0176
SP,GE,1900-1905,-0.0417,-0.0426
SP,GE,1905-1910,-0.1253,-0.1338
SP,GE,1910-1915,-0.0287,-0.0291
SP,GE,1915-1920,-0.0184,-0.0185
SP,GE,1920-1925,0.0137,0.0136
SP,GE,1925-1930,-0.0424,-0.0433
SP,GE,1930-1935,-0.083,-0.0866
SP,GE,1935-1940,0.1619,0.15
SP,GE,1940-1945,-0.0064,-0.0064
SP,GE,1945-1950,-0.0953,-0.1002
SP,GE,1950-1955,0.0458,0.0447
SP,GE,1955-1960,0.0613,0.0595
SP,GE,1960-1965,0.0942,0.0901
SP,GE,1965-1970,0.0934,0.0893
SP,GE,1970-1975,0.009,0.009
SP,GE,1975-1980,0.0508,0.0496
SP,GE,1980-1985,0.0058,0.0058
SP,GE,1985-1990,-0.0011,-0.0011
SP,GE,1990-1995,0.013,0.013
SP,GE,1995-2000,-0.0368,-0.0375
SP,GE,2000-2005,-0.0098,-0.0099
SP,IT,1900-1905,0.1031,0.0981
SP,IT,1905-1910,0.0045,0.0045
SP,IT,1910-1915,-0.1086,-0.1149
SP,IT,1915-1920,0.0053,0.0053
SP,IT,1920-1925,-0.0379,-0.0386
SP,IT,1925-1930,0.0206,0.0204
SP,IT,1930-1935,-0.0303,-0.0307
SP,IT,1935-1940,-0.052,-0.0534
SP,IT,1940-1945,-0.0059,-0.0059
SP,IT,1945-1950,0.0045,0.0045
SP,IT,1950-1955,-0.0199,-0.0201
SP,IT,1955-1960,-0.075,-0.078
SP,IT,1960-1965,-0.0107,-0.0107
SP,IT,1965-1970,-0.0301,-0.0305
SP,IT,1970-1975,0.042,0.0411
SP,IT,1975-1980,0.0119,0.0118
SP,IT,1980-1985,-0.018,-0.0181
SP,IT,1985-1990,0.0027,0.0027
SP,IT,1990-1995,0.0131,0.013
SP,IT,1995-2000,0.0308,0.0304
SP,IT,2000-2005,-0.0214,-0.0217
