Idioma_A,Idioma_B,Promedio,Max_periodo,Fecha_Max,Min_periodo,Fecha_Min,Promedio_log,Max_periodo_log,Fecha_Max_log,Min_periodo_log,Fecha_Min_log
EN,FR,0.0677,0.1401,1990-2000,-0.0074,1940-1950,0.0644,0.1311,1990-2000,-0.0075,1940-1950
EN,GE,0.0049,0.478,1990-2000,-0.0964,1960-1970,-0.0066,0.3907,1990-2000,-0.1014,1960-1970
EN,IT,0.0058,0.1227,1930-1940,-0.113,1910-1920,0.0038,0.1158,1930-1940,-0.12,1910-1920
EN,SP,0.0826,0.2681,1900-1910,-0.0289,1910-1920,0.0765,0.2375,1900-1910,-0.0293,1910-1920
FR,EN,0.0271,0.1082,1960-1970,-0.0308,1970-1980,0.026,0.1027,1960-1970,-0.0313,1970-1980
FR,GE,0.071,0.1438,1920-1930,0.0149,1900-1910,0.0679,0.1343,1920-1930,0.0147,1900-1910
FR,IT,0.0489,0.2749,1990-2000,-0.2489,1980-1990,0.0356,0.2428,1990-2000,-0.2862,1980-1990
FR,SP,0.0078,0.1532,1970-1980,-0.229,1900-1910,0.0029,0.1425,1970-1980,-0.2601,1900-1910
GE,EN,-0.0246,0.0412,1900-1910,-0.0905,1970-1980,-0.0258,0.0404,1900-1910,-0.0948,1970-1980
GE,FR,0.0087,0.0861,1940-1950,-0.0838,1920-1930,0.0067,0.0826,1940-1950,-0.0876,1920-1930
GE,IT,-0.0417,0.7238,1920-1930,-0.2977,1910-1920,-0.0777,0.5445,1920-1930,-0.3534,1910-1920
GE,SP,0.0939,0.5008,1920-1930,-0.3887,1980-1990,0.0598,0.406,1920-1930,-0.4922,1980-1990
IT,EN,0.0232,0.2126,1930-1940,-0.1371,1960-1970,0.0176,0.1928,1930-1940,-0.1474,1960-1970
IT,FR,-0.0069,0.0627,1900-1910,-0.0476,1960-1970,-0.0075,0.0608,1900-1910,-0.0488,1960-1970
IT,GE,0.0698,0.1389,1910-1920,-0.0685,1960-1970,0.0654,0.1301,1910-1920,-0.071,1960-1970
IT,SP,0.0303,0.2603,1930-1940,-0.0833,1900-1910,0.0263,0.2313,1930-1940,-0.087,1900-1910
SP,EN,0.0414,0.17,1950-1960,-0.0933,1970-1980,0.0373,0.157,1950-1960,-0.098,1970-1980
SP,FR,-0.02,0.1269,1940-1950,-0.131,1900-1910,-0.0226,0.1195,1940-1950,-0.1404,1900-1910
SP,GE,0.0074,0.1964,1960-1970,-0.1618,1900-1910,0.0025,0.1793,1960-1970,-0.1765,1900-1910
SP,IT,-0.0146,0.108,1900-1910,-0.1038,1910-1920,-0.0169,0.1026,1900-1910,-0.1096,1910-1920
